user id : [426], type : [Использовал товар], product item : [item3], time : [2021-10-08 01:05:32]
user id : [426], type : [Приобрел товар], product item : [item3], time : [2021-10-08 01:07:21]
user id : [426], type : [Использовал товар], product item : [item3], time : [2021-10-08 01:07:30]
user id : [492], type : [Использовал товар], product item : [item3], time : [2021-10-08 01:07:30]
user id : [492], type : [Приобрел товар], product item : [item4], time : [2021-10-08 01:07:32]
user id : [426], type : [Приобрел товар], product item : [item3], time : [2021-10-08 01:07:32]
user id : [492], type : [Использовал товар], product item : [item4], time : [2021-10-08 01:07:36]
user id : [426], type : [Приобрел товар], product item : [item4], time : [2021-10-08 01:07:37]
user id : [426], type : [Использовал товар], product item : [item4], time : [2021-10-08 01:07:51]
user id : [426], type : [Приобрел товар], product item : [item4], time : [2021-10-08 01:07:57]
user id : [426], type : [Использовал товар], product item : [item3], time : [2021-10-08 01:08:07]
user id : [426], type : [Использовал товар], product item : [item4], time : [2021-10-08 01:08:10]
user id : [426], type : [Приобрел товар], product item : [item3], time : [2021-10-08 01:08:27]
user id : [426], type : [Приобрел товар], product item : [item4], time : [2021-10-08 01:08:31]
user id : [426], type : [Использовал товар], product item : [item3], time : [2021-10-08 01:08:36]
user id : [426], type : [Использовал товар], product item : [item4], time : [2021-10-08 01:08:41]
user id : [426], type : [Приобрел товар], product item : [item3], time : [2021-10-08 10:01:08]
user id : [426], type : [Использовал товар], product item : [item3], time : [2021-10-08 10:01:18]
user id : [608], type : [Приобрел товар], product item : [item1], time : [2021-10-08 12:07:11]
user id : [207], type : [Приобрел товар], product item : [item1], time : [2021-10-08 12:26:27]
user id : [207], type : [Использовал товар], product item : [item1], time : [2021-10-08 12:26:31]
user id : [207], type : [Приобрел товар], product item : [item2], time : [2021-10-08 12:30:17]
user id : [207], type : [Использовал товар], product item : [item2], time : [2021-10-08 12:30:21]
user id : [207], type : [Приобрел товар], product item : [item3], time : [2021-10-08 12:32:36]
user id : [207], type : [Приобрел товар], product item : [item4], time : [2021-10-08 12:34:43]
user id : [207], type : [Использовал товар], product item : [item4], time : [2021-10-08 12:34:50]
user id : [207], type : [Приобрел товар], product item : [item4], time : [2021-10-08 12:35:00]
user id : [608], type : [Использовал товар], product item : [item1], time : [2021-10-08 12:37:45]
user id : [207], type : [Использовал товар], product item : [item3], time : [2021-10-08 12:38:12]
user id : [207], type : [Использовал товар], product item : [item4], time : [2021-10-08 12:42:54]
user id : [621], type : [Приобрел товар], product item : [item1], time : [2021-10-08 15:45:17]
user id : [611], type : [Приобрел товар], product item : [item1], time : [2021-10-08 15:45:26]
user id : [621], type : [Использовал товар], product item : [item1], time : [2021-10-08 15:46:24]
user id : [611], type : [Использовал товар], product item : [item1], time : [2021-10-08 15:46:47]
user id : [626], type : [Приобрел товар], product item : [item1], time : [2021-10-08 18:19:09]
